scenario_id,se,sp,uhr,tag,n,R,B,truth_delta_prmst,mean_delta,bias,rmse,coverage,mcse_coverage,n_eval
1001,1.0,1.0,1.0,core,5000,1000,1000,0.20310850624265342,0.20301830122141534,-9.020502123804253e-05,0.06842116490945603,0.957,0.006414904519944161,1000
1002,1.0,1.0,0.5,core,5000,1000,1000,0.20359896077204676,0.22455880407360154,0.02095984330155481,0.07433422617716151,0.932,0.00796090447122687,1000
1003,1.0,1.0,0.33,core,5000,1000,1000,0.2039094692735426,0.24377325457976576,0.039863785306223185,0.08018797127678821,0.918,0.008676174272108645,1000
1004,0.9,0.9,1.0,core,5000,1000,1000,0.19767410057683454,0.1578556882605908,-0.039818412316243765,0.07937582876079245,0.902,0.009401914698613255,1000
1005,0.9,0.9,0.5,core,5000,1000,1000,0.19806703051027563,0.17398174656593204,-0.024085283944343616,0.0732676521416675,0.93,0.008068457101577721,1000
1006,0.9,0.9,0.33,core,5000,1000,1000,0.19891368832053802,0.19380881238720996,-0.005104875933328081,0.06861968083556308,0.952,0.006759881655768837,1000
1007,0.75,0.85,1.0,core,5000,1000,1000,0.19754164435775845,0.11781119192126605,-0.07973045243649242,0.11029481836470079,0.762,0.01346684818359515,1000
1008,0.75,0.85,0.5,core,5000,1000,1000,0.19775933139173363,0.13488938959226135,-0.06286994179947228,0.0935492727231291,0.846,0.011414201680362933,1000
1009,0.75,0.85,0.33,core,5000,1000,1000,0.1986223632723938,0.14706206761553112,-0.05156029565686271,0.08401866222383218,0.894,0.009734680272099335,1000
1010,0.9,0.9,0.5,early_benefit,5000,1000,1000,0.4106558421974227,0.3317792718940409,-0.07887657030338178,0.10418569068824761,0.794,0.0127892142057282,1000
1011,0.9,0.9,0.5,decay,5000,1000,1000,0.6315739415874342,0.511830598877406,-0.11974334271002815,0.13890748732486768,0.568,0.01566448211719749,1000
1012,0.9,0.9,0.5,crossing,5000,1000,1000,-0.3176056240350382,-0.22904456580243748,0.08856105823260073,0.11235481779748166,0.731,0.014022802858202064,1000
