scenario_id,iter,tag,delta,boot_lo,boot_hi,boot_n
1011,0,decay,0.4909073319195585,0.3547392554863084,0.6220668277944342,1000
1011,1,decay,0.5176527172194607,0.38867775326765575,0.6532822093449147,1000
1011,2,decay,0.6399988533842653,0.5013799788151478,0.7609711799928436,1000
1011,3,decay,0.574783749407,0.44087836899459215,0.7113251849373172,1000
1011,4,decay,0.46065457532439913,0.3229427981864184,0.5956917121198008,1000
1011,5,decay,0.4459310276633408,0.31711514445596256,0.5907026952538599,1000
1011,6,decay,0.44716465990532717,0.30208929191435746,0.5805520687205987,1000
1011,7,decay,0.4215671413104225,0.28322832439325046,0.5638560217867126,1000
1011,8,decay,0.4897600016663297,0.36049902250375154,0.6288007895873992,1000
1011,9,decay,0.5342977145120655,0.3997998668630763,0.6743682527296988,1000
1011,10,decay,0.42947847488845925,0.2903533027418152,0.5700613264443107,1000
1011,11,decay,0.4556688972519334,0.32224487441715227,0.5982177643031608,1000
1011,12,decay,0.626082442857808,0.4889092739769749,0.7669330155367208,1000
1011,13,decay,0.41292623926659466,0.2744933576988707,0.5488616321998518,1000
1011,14,decay,0.579138542673372,0.4416316058107295,0.7133962656339494,1000
1011,15,decay,0.4210139316759878,0.2933132839558704,0.5528073968981807,1000
1011,16,decay,0.594744639685564,0.4651312131644414,0.7164417339162337,1000
1011,17,decay,0.6776845241864828,0.5351343383597741,0.8133100775229971,1000
1011,18,decay,0.4477397379402688,0.3222045483613454,0.577921435871275,1000
1011,19,decay,0.5741583337637484,0.4332496885369944,0.7132344648890627,1000
1011,20,decay,0.4074487545172234,0.2721021483232158,0.5448443186778902,1000
1011,21,decay,0.3949301670858132,0.2578577853493408,0.5270549979922976,1000
1011,22,decay,0.5808520286491703,0.4449791264967991,0.7147699408357902,1000
1011,23,decay,0.5391589676853998,0.409186922507999,0.6844775602175834,1000
1011,24,decay,0.5012264043714207,0.36898744731002164,0.6450313544224803,1000
1011,25,decay,0.4655131588156882,0.3225257063000165,0.6071982491076413,1000
1011,26,decay,0.6563767344226807,0.5242619940269265,0.7828665285018697,1000
1011,27,decay,0.525045930291637,0.38476574006326747,0.6569367068176701,1000
1011,28,decay,0.5902900618555758,0.4588910135458413,0.7214280967891956,1000
1011,29,decay,0.5566993601691967,0.41723261527070876,0.6970764118203778,1000
1011,30,decay,0.5314843087415362,0.3993423833379246,0.6694018699077221,1000
1011,31,decay,0.528482732761308,0.3973495943850248,0.6623829890992126,1000
1011,32,decay,0.6310454023788559,0.48508844948673074,0.7601875190173161,1000
1011,33,decay,0.39412822396385927,0.25252041037298195,0.5210282545765419,1000
1011,34,decay,0.5775184282352663,0.4461256497073463,0.7117475908439509,1000
1011,35,decay,0.44948440438594517,0.314866125504184,0.5932230730815602,1000
